doc_id,art_id,entity_text,entity_label,pattern_group,full_context,words_before_count,words_after_count
6D0C4493,6D0C4493_4,artículos 21,ARTICLE_MULTI,ARTICLE_MENTIONS,"Sin perjuicio de los principios que prevén los **artículos 21** , párrafo noveno de la Constitución Federal , y los diversos 11 apartado L y 45 apartado B numeral 3 de la Constitución local la actuación del personal adscrito a",8,30
6D0C4493,6D0C4493_4,artículo 4 d,ARTICLE_MULTI,ARTICLE_MENTIONS,"la Constitución local la actuación del personal adscrito a los Centros Penitenciarios y al Centro de Sanciones Administrativas se regirá bajo los principios rectores del Sistema Penitenciario previstos en el **artículo 4 de** la Ley Nacional , los cuales son : Dignidad ; Igualdad ; Legalidad ; Debido Proceso ; Transparencia ; Confidencialidad ; Publicidad ; Proporcionalidad ; y Reinserción social .",30,29
6D0C4493,6D0C4493_5,artículo 18,ARTICLE_MULTI,ARTICLE_MENTIONS,"El tratamiento para la persona privada de su libertad a que se refiere el **artículo 18** , fracción II , de la Ley de Centros Penitenciarios , se establecerá a través de elementos técnicos interdisciplinarios sobre la base del respeto a los derechos humanos , del",14,30
6D0C4493,6D0C4493_7,artículo 22 d,ARTICLE_MULTI,ARTICLE_MENTIONS,"implique el uso de la violencia , discriminación , extorsión , torturas , amenazas , tratos crueles , inhumanos , degradantes o algún otro acto de los prohibidos por el **artículo 22 de** la Constitución Federal , o que menoscabe los derechos de las personas privadas de la libertad , previstos en la Constitución local y en los Tratados Internacionales en materia de",30,30
6D0C4493,6D0C4493_30,artículo 19 d,ARTICLE_MULTI,ARTICLE_MENTIONS,"el que por determinación del Juez de Control se establezca la prisión preventiva de carácter oficioso o justificada de un imputado dentro de los términos a que hace referencia el **artículo 19 de** la Constitución Federal , o en su caso , dentro de las 144 horas a que se refiere el artículo 154 del Código Nacional de Procedimientos Penales , deberá advertir",30,30
6D0C4493,6D0C4493_30,artículo 154 d,ARTICLE_MULTI,ARTICLE_MENTIONS,"de los términos a que hace referencia el artículo 19 de la Constitución Federal , o en su caso , dentro de las 144 horas a que se refiere el **artículo 154 del** Código Nacional de Procedimientos Penales , deberá advertir al Juez de control sobre esta situación con un mínimo de tres horas , previo a la conclusión del plazo , en",30,30
6D0C4493,6D0C4493_30,artículo 119 p,ARTICLE_MULTI,ARTICLE_MENTIONS,"pondrá al imputado en inmediata libertad , realizando el acta administrativa correspondiente . De igual manera , en su caso deberá cumplir con lo previsto en la parte conducente del **artículo 119 párrafos** segundo y tercero de la Constitución Federal .",30,8
6D0C4493,6D0C4493_39,artículo 18 d,ARTICLE_MULTI,ARTICLE_MENTIONS,"los cuales estarán ubicados en un lugar distinto de aquellos destinados para el internamiento preventivo y de ejecución de sanciones penales , respetando en todo momento lo previsto en el **artículo 18 de** la Constitución Federal .",30,4
6D0C4493,6D0C4493_63,artículo 7 d,ARTICLE_MULTI,ARTICLE_MENTIONS,"asistenciales , tanto estatales como federales , así como otras del sector privado y corresponsables a fin de apoyar la creación de la comisión intersecretarial a que hace referencia el **artículo 7 de** la Ley Nacional , previo a la celebración de convenios interinstitucionales , así como de traslado de personas privadas de la libertad , a que se refiere el artículo 18",30,30
6D0C4493,6D0C4493_63,artículo 18 C,ARTICLE_MULTI,ARTICLE_MENTIONS,"7 de la Ley Nacional , previo a la celebración de convenios interinstitucionales , así como de traslado de personas privadas de la libertad , a que se refiere el **artículo 18 Constitución** Federal .",30,2
