doc_id,art_id,entity_text,entity_label,pattern_group,full_context,words_before_count,words_after_count
50BEA374,50BEA374_TRANS,Reglamento de la presente Ley,LEY_Y_REGLAMENTOS,SPECIFIC_LAW_MENTIONS,"de diciembre de 2017 y demás normatividad y disposiciones aplicables anteriores a la expedición del presente Decreto . TERCERO . La persona titular de la Jefatura de Gobierno emitirá el **Reglamento de la presente Ley** en ejercicio de las atribuciones que le otorga el artículo 32 , Apartado C , Numeral 1 , inciso a ) de la Constitución Política de la Ciudad de México",30,30
491D6477,491D6477_TRANS,Reglamento de esta Ley,LEY_Y_REGLAMENTOS,SPECIFIC_LAW_MENTIONS,"de México , se continuará aplicando en lo que no se contraponga con la presente Ley , hasta en tanto el titular de la Jefatura de Gobierno , emita el **Reglamento de esta Ley** , en un plazo no mayor a 90 días naturales . OCTAVO . Se derogan las normas jurídicas que se opongan al presente Decreto . Palacio Legislativo del Congreso de",30,30
37159EFC,37159EFC_19,Reglamento de esta Ley,LEY_Y_REGLAMENTOS,SPECIFIC_LAW_MENTIONS,"Federal que haya sido solicitado por un productor para una filmación ; Instalar , operar y mantener actualizados los Registros de Productores , de Locaciones y de Servicios . El **Reglamento de esta Ley** establecerá las reglas y lineamientos para la integración , organización y funcionamiento de estos Registros ; Establecer sistemas eficientes para la administración del personal , de los recursos financieros ,",30,30
292100E1,292100E1_TRANS,Reglamento de la presente Ley,LEY_Y_REGLAMENTOS,SPECIFIC_LAW_MENTIONS,y publicación en la Gaceta Oficial de la Ciudad de México . SEGUNDO . El presente Decreto entrará en vigor al día siguiente de su publicación . TERCERO . El **Reglamento de la presente Ley** se expedirá en un plazo máximo de 180 días hábiles contados a partir de la entrada en vigor del presente Decreto . CUARTO . El Consejo de la Judicatura del,30,30
3A2C8488,3A2C8488_168,Reglamento de la presente Ley,LEY_Y_REGLAMENTOS,SPECIFIC_LAW_MENTIONS,"Consejo de Resiliencia tendrá órganos de trabajo denominados Comisiones Técnicas encargadas de realizar trabajos y estudios específicos derivados de sus atribuciones , cuya organización y funcionamiento se establecerán en el **Reglamento de la presente Ley** .",30,1
3A2C8488,3A2C8488_TRANS,Reglamento de la presente Ley,LEY_Y_REGLAMENTOS,SPECIFIC_LAW_MENTIONS,la Gaceta Oficial de la Ciudad de México . SEGUNDO . El presente decreto entrará en vigor a los 60 días naturales posteriores a su publicación . TERCERO . El **Reglamento de la presente Ley** se expedirá dentro de los ciento veinte días naturales siguientes a la publicación del presente decreto . CUARTO . La Secretaría contará con noventa días naturales a partir de la,30,30
3A2C8488,3A2C8488_TRANS,Reglamento de la presente Ley,LEY_Y_REGLAMENTOS,SPECIFIC_LAW_MENTIONS,"SEGUNDO . El presente Decreto entrará en vigor a los treinta días hábiles siguientes a su publicación en la Gaceta Oficial de la Ciudad de México . TERCERO . El **Reglamento de la presente Ley** deberá modificarse en los términos de este Decreto , en un término de 90 días hábiles contados a partir de la entrada en vigor del presente . CUARTO . La",30,30
C57B66D6,C57B66D6_92,Reglamento de esta ley,LEY_Y_REGLAMENTOS,SPECIFIC_LAW_MENTIONS,", dentro del plazo a que se refiere el párrafo anterior , el Índice Electrónico , así como los elementos del Archivo Electrónico en términos de lo señalado en el **Reglamento de esta ley** . La revisión de la exactitud de la razón de cierre la hará el Archivo previa emisión de la constancia recepción por parte del Colegio . Independientemente de lo anterior",30,30
C57B66D6,C57B66D6_100,Reglamento de esta Ley,LEY_Y_REGLAMENTOS,SPECIFIC_LAW_MENTIONS,Vicies . En lo no previsto en esta sección y tomando en cuenta la naturaleza de la Actuación Digital Notarial aplicarán las disposiciones del protocolo ordinario y del **Reglamento de esta Ley** . SECCIÓN TERCERA DE LAS ACTUACIONES Y DOCUMENTOS NOTARÍALES ESCRITURAS,28,10
C57B66D6,C57B66D6_TRANS,reglamento de la presente Ley,LEY_Y_REGLAMENTOS,SPECIFIC_LAW_MENTIONS,"Vivienda , hayan sido solicitados por Autoridades Federales o Locales , o hayan sido requeridos al Archivo por mandamiento de autoridad Judicial o Administrativa competente . DÉCIMO PRIMERO . El **reglamento de la presente Ley** deberá expedirse en un plazo de 60 días hábiles , contados a partir del día siguiente de su publicación en la Gaceta Oficial de la Ciudad de México , y",30,30
