doc_id,art_id,entity_text,entity_label,pattern_group,full_context,words_before_count,words_after_count,type_of_relation
6D0C4493,6D0C4493_1,este Reglamento,REGLAMENTO_REFERENCE,SPECIFIC_LAW_MENTIONS,"Las disposiciones contenidas en **este Reglamento** son de orden público , interés social y de observancia general en la Ciudad de México ; tiene por objeto regular la planeación , organización , administración , operación ,",4,30,auto_referencia
6D0C4493,6D0C4493_21,este Reglamento,REGLAMENTO_REFERENCE,SPECIFIC_LAW_MENTIONS,"Es obligación de la Subsecretaría del Sistema Penitenciario , de las autoridades de los Centros Penitenciarios y del personal penitenciario dar a conocer **este Reglamento** a las personas privadas de la libertad , procurando tener un volumen para su consulta . La Secretaría expedirá los instrumentos jurídicos correspondientes al uso de instalaciones , prestación de",23,30,auto_referencia
6D0C4493,6D0C4493_38,el presente Reglamento,REGLAMENTO_REFERENCE,SPECIFIC_LAW_MENTIONS,"seguridad que requieren los módulos de Alta Seguridad , se acondicionará lo necesario con la finalidad de que las personas privadas de la libertad disfruten de los derechos que establece **el presente Reglamento** .",30,1,auto_referencia
6D0C4493,6D0C4493_73,este Reglamento,REGLAMENTO_REFERENCE,SPECIFIC_LAW_MENTIONS,"la visita familiar al Centro Penitenciario y resolver sobre la autorización de ingreso , suspensión temporal o definitiva de la misma ; Determinar y aplicar las sanciones disciplinarias establecidas en **este Reglamento** y en otros ordenamientos jurídicos y administrativos . En el caso del Centro Varonil de Rehabilitación Psicosocial determinar con base en el estado psiquiátrico en que se encuentre la persona",30,30,auto_referencia
6D0C4493,6D0C4493_88,el presente Reglamento,REGLAMENTO_REFERENCE,SPECIFIC_LAW_MENTIONS,"Los objetos de valor , ropa y otros bienes que la persona privada de la libertad posea a su ingreso o traslado que , de acuerdo con **el presente Reglamento** y demás disposiciones aplicables no pueda tener consigo , serán entregados a la persona que designe o , en su defecto , se mantendrán en depósito en lugar seguro ,",27,30,auto_referencia
6D0C4493,6D0C4493_101,el presente Reglamento,REGLAMENTO_REFERENCE,SPECIFIC_LAW_MENTIONS,"En los Centros Penitenciarios deberán mantenerse el orden , la seguridad y la disciplina , aplicando estrictamente y sin distinción alguna **el presente Reglamento** y demás disposiciones aplicables , a fin de lograr la convivencia y el adecuado desarrollo del plan de actividades de las personas privadas de la libertad , así como la",21,30,auto_referencia
6D0C4493,6D0C4493_105,el presente Reglamento,REGLAMENTO_REFERENCE,SPECIFIC_LAW_MENTIONS,"hacer uso de la fuerza , salvo en casos de legítima defensa , evasión o de resistencia a una orden relacionada con una disposición establecida en la Ley o con **el presente Reglamento** . El personal del Centro que recurra al uso de la fuerza se limitará a emplearla en la medida estrictamente necesaria para el control y aseguramiento de la persona privada",30,30,auto_referencia
6D0C4493,6D0C4493_159,este Reglamento,REGLAMENTO_REFERENCE,SPECIFIC_LAW_MENTIONS,"y 45 de la Ley Nacional . En los casos en que la persona privada de su libertad incurra en dos o más infracciones previstas en el artículo 156 de **este Reglamento** , se impondrá la sanción correspondiente para cada una de ellas .",30,12,auto_referencia
6D0C4493,6D0C4493_222,el presente Reglamento,REGLAMENTO_REFERENCE,SPECIFIC_LAW_MENTIONS,"de la Subsecretaría podrá negar el acceso a los medios a que se refiere el presente artículo , en caso que éstos se rehúsen a cumplir con lo establecido en **el presente Reglamento** y las demás disposiciones administrativas que regulen el ingreso a los Centros Penitenciarios . La persona titular de la Subsecretaría deberá informar en todos los casos a la persona titular",30,30,auto_referencia
6D0C4493,6D0C4493_TRANS,El presente Reglamento,REGLAMENTO_REFERENCE,SPECIFIC_LAW_MENTIONS,"PRIMERO . Publíquese en la Gaceta Oficial de la Ciudad de México . SEGUNDO . **El presente Reglamento** entrará en vigor al día siguiente de su publicación . TERCERO . Se abroga el Reglamento de los Centros de Reclusión del Distrito Federal , publicado en la Gaceta Oficial",15,30,auto_referencia
6D0C4493,6D0C4493_TRANS,el presente Reglamento,REGLAMENTO_REFERENCE,SPECIFIC_LAW_MENTIONS,"de la entrada en vigor del presente Reglamento correspondían a diversa Unidad Administrativa , deberán continuar con el trámite correspondiente y serán resueltos por las Unidades Administrativas a las que **el presente Reglamento** les designe las atribuciones de aquellas . SEXTO . Los trámites y procedimientos iniciados con anterioridad a la entrada en vigor del presente Reglamento continuarán hasta su total conclusión conforme",30,30,auto_referencia
2833199A,2833199A_1,El presente Reglamento,REGLAMENTO_REFERENCE,SPECIFIC_LAW_MENTIONS,"**El presente Reglamento** es de observancia obligatoria en el Instituto Electoral del Distrito Federal y tiene por objeto regular la integración de los Consejos Distritales , los derechos y obligaciones de sus Consejeros",0,30,auto_referencia
2833199A,2833199A_2,este Reglamento,REGLAMENTO_REFERENCE,SPECIFIC_LAW_MENTIONS,Para los efectos de **este Reglamento** se entenderá por : En cuanto a los ordenamientos legales : Constitución : Constitución Política de los Estados Unidos Mexicanos ; Código : Código de Instituciones y Procedimientos Electorales del,4,30,auto_referencia
2833199A,2833199A_3,este Reglamento,REGLAMENTO_REFERENCE,SPECIFIC_LAW_MENTIONS,La interpretación y aplicación de las disposiciones de **este Reglamento** se harán conforme a los principios establecidos en los párrafos segundo y tercero del artículo 3 del Código .,8,19,auto_referencia
